Index,Size,Filename
"1","5593","00_speech_chip_test.wav"
"2","2266","Char - Take 1 - One.wav"
"3","2497","Char - Take 1 - Two.wav"
"4","2035","Char - Take 1 - Three.wav"
"5","2077","Char - Take 1 - Four.wav"
"6","1741","Char - Take 1 - Five.wav"
"7","2853","Char - Take 1 - Six.wav"
"8","2098","Char - Take 1 - Seven.wav"
"9","1783","Char - Take 1 - Eight.wav"
"10","2245","Char - Take 1 - Nine.wav"
"11","2140","Char - Take 1 - Ten.wav"
"12","3714","jess_max_pitchdown_85_mechanized__intruder.wav"
"13","5673","jess_max_pitchdown_85_mechanized__destroy_intruder.wav"
"14","4187","jess_max_pitchdown_85_mechanized__destroyed.wav"
"15","5470","jess_max_pitchdown_85_mechanized__hahahaha_1.wav"
"16","6213","jess_max_pitchdown_85_mechanized__hahahaha_2.wav"
"17","6010","jess_max_pitchdown_85_mechanized__hahahaha_3.wav"
"18","4255","jess_max_pitchdown_85_mechanized__we_win.wav"
"19","5605","jess_max_pitchdown_85_mechanized__you_lose.wav"
"20","3818","jess_max2_pitchdown_83_mechanized__activated.wav"
"21","2970","jess_max2_pitchdown_83_mechanized__attack.wav"
"22","4042","jess_max2_pitchdown_83_mechanized__you_cannot_win.wav"
"23","5091","jess_max2_pitchdown_83_mechanized__you_will_not_win.wav"
"24","3934","jess_max3_pitchdown_85_mechanized__ill_be_back.wav"
"25","4909","jess_max3_pitchdown_85_mechanized__ahhhh2.wav"
"26","4557","jess_max3_pitchdown_85_mechanized__ohhhh.wav"
"27","5541","jess_max3_pitchdown_85_mechanized__eeewww.wav"
"28","3325","jess_rex_mechanized__better_hurry.wav"
"29","3325","jess_rex_mechanized__come_on.wav"
"30","3550","jess_rex_mechanized__im_outta_here.wav"
"31","1690","jess_rex_mechanized__ooof.wav"
"32","1521","jess_rex_mechanized__ooom.wav"
"33","2592","jess_rex_mechanized__ouch.wav"
"34","1183","jess_rex_mechanized__uggh.wav"
"35","2198","jess_rex_mechanized__uh_oh.wav"
"36","2367","jess_rex_mechanized__um_hmm.wav"
"37","1240","jess_rex_mechanized__uumm.wav"
"38","2085","jess_rex_mechanized__whoa.wav"
"39","3985","jess_rex_mechanized__woo_hoo.wav"
"40","11374","benk_18_force will be with you, always.wav"
"41","6496","boy_01_look at the size of that thing.wav"
